siyam_ref,type,make,application,year,core_size,number_of_rows,inlet_pipe,outlet_pipe,eoc,toc,oems,replaces,category
12246,Plastic/Aluminum Without Frame,Freightliner,"FL120, Century, Classic, Columbia",1997-2006 ,"36"" X 30 5/8"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No,0516225001 / A0516225001 / 0516255001 / A0516255001 / 0516239002 / 0516255000 / A0516255000 / 0516255001 / 0516255002 / 05163797000 / A05163797000 / 0516380000 / A0516380000 / 1AH000016R / 1AH00062R / 1AH00081 / 1AH00081R / 1AH00081S / 2AH00081 / 310081T / 376753361 / 376761551 / 3AH00200SP / 3AH00243SP / 3AH00277 / 6805000603 / A0516235001 / A0519502009 / A6724 / A6725 / A6726 / A6727 / A6728 / BHT1SA00209 / BHT70012 / BHT68925 / BHTA3724 / BHTA6724 / BHTA6725002 / BHTA6726 / BHTA6727 / BHTA6728 /  BHTA6826 / BHTE0805 / D3774 / E0805 / E0807 / EXO3AH00200SP / EXO3AH00243SP / 11C9091 / 1AH00016R,239136 / 800007PT / 2001-1707 / HDC010007PA / 437157 / CTVTX80472 / FRE07,ptr
12325,Plastic/Aluminum Without Frame,Freightliner,"FLD, Century, Classic XL, Sterling 9500 series, Coronado 36""",2002-2007,"36"" X 38 1/2"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,No,376761591 / 140052W / 376761591 / A4726 / A4727 / A4738 / A4739 / B4742 / B7472 / B7473 / BHAA4738 / BHTA4726 /  BHTB4742 / BHTB7472 / BHTC2237 / BHTE3758 / BHTE3760 / BHTE4812 / BHTE6125 / BHTV0225001 / C2237 / C2238 / E3758 / E3759 / E4812 / E4814 / SN20050814224835 / V0225001 / Z0225001 / BHT7472 / BHTA4738,239142 / 800020PT / 2001-1710 / 437398 / HDC010021PA / CVTM80673 / FRE20,ptr
12330,Plastic/Aluminum Without Frame,Freightliner,"M2 112, Century, Columbia series with Detroit series MBE",2004-2007,"41 13/16"" X 30 5/8"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No,0520514001 / 376761541 / A0519870002 / A0519870003 / A0519870011 / A0519870013 / A0519870017 / A0519870019 / A9986 / A9988 / BHT2315 / BHTA9986 / BHTA9988 / BHTC2315 / BHTD9546 / BHTD9547 / BHTE7236 / BHTU3692001 / BHTU3698 / BHTU3698001 / C2315 / E7236 / E7237 / H5466 / U3692001 / U3698001 / U3780001 / A0519870009 / A0519870015,239138 / 800022PT / FRE22 / 2001-1711 / 437601 / HDC010023PA / FLX000235 / CVTM80593,ptr
12333,Plastic/Aluminum Without Frame,Freightliner,Century series / Coronado,2003-2006,"38"" X 38 1/2"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,No,B5323 / BHT25323 / BHTB5323 / 2003062615805 / 376761601 / 75080 / 75084 / B5325 / BHT75080 / BHT75084 / BHTC8987 / C8987 / C8989 / BHTB5325 / BHTC8989 / 75084100 / BHTB6291 / B6291 / BHTD9576 / D9576 / BHT75048,239010 / 800051PT / 2001-1712 / 437260 / FRE13 / CTVTM82623 / HDC010088PA,ptr
12338,Plastic/Aluminum Without Frame,Freightliner,Columbia / Cascadia / Century,2008-2015,"42"" X 37 3/4"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,376792711 / 0524936002 / 0526615020 / 0526620002 / 0526620004 / 0527743002 / 0527749000 / 0527749005 / 0529617002 / 0529617005 / 1A0201190020 / 3E011860004 / 3E0120430002 / A0524936002 / A0526615010 / A0526615020 / A0526615022 / A0526620004 / A0527743002 / A0527749002 / 529617005 / 527749005 / 527749002 / 526620004 / 05-24936-002 / 05-26615-020 / 05-26620-002 / 05-26620-004 / 05-27743-002 / 05-27749-000 / 05-27749-002 / 05-29617-002 / A05-24936-002 / A05-26615-010 / A05-26615-020 / A05-26615-022 / A05-26620-004 / A05-27743-002 / A05-27749-002 / 3E0118600004 / 3S0581790002 / MOD3S0581790002 / 3E01186004 / 1A020119020 / 05-34048-000 / 0534048000 / A05-34049-000 / A0534049000,239086 / 800068PT / FRE68 / 2001-1725 / HDC010117PA / 437248P / CTAVTM83033 / 613RA068,ptr
12377,Plastic/Aluminum with frame,Freightliner,Cascadia,2017-2023,"35 1/16"" X 38 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No,TXE1003850 / TXE1003850D / 1003850 / TXE1102843C / 1102843 / TXE1004004B,800131PTWF / TXE1003850 / 1102843C / TXE1004004B / 1102837C / FRE131F,ptr
12377-XB,Plastic/Aluminum Without Frame,Freightliner,Cascadia,2017-2023,"35 1/16"" X 38 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No,TXE1003850 / TXE1003850D / 1003850 / TXE1102843C / 1102843 / TXE1004004B,800131PT / TXE1003850 / 1102843C / TXE1004004B / 1102837C / FRE131,ptr
12377-AS,Plastic/Aluminum with frame,Freightliner,Cascadia,2017-2023,"35 1/16"" X 38 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,TXE1003849 / TXE1003849D / A0533218003 / TXE1003850 / TXE1003850D / 1003850,238847 / 800128PTWF / TXE1003849D / TXE1003850 / HDC011225 / TXE1102845 / FRE130F,ptr
12377-AXB,Plastic/Aluminum Without Frame,Freightliner,Cascadia,2017-2023,"35 1/16"" X 38 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,TXE1003849 / TXE1003849D / A0533218003 / TXE1003850 / TXE1003850D / 1003850,238848 / 800128PT / TXE1003849D / TXE1003850 / TXE1102845 / FRE130,ptr
12497,Plastic/Aluminum Without Frame,Freightliner,Cascadia / Century / Columbia,2008-2015,"42"" X 37 3/4"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,376792711 / 0526620005 / 0527749003 / 0529617003 / 0529617009 / 1A0201190021 / 3E01228 / 3E0122800003 / A0526615021 / A0526620005 / A0527749003 / A0529617003 / 3S0582180003 / 0524936001 / 0524936003 / 052660005 / 0526620003 / 0529617007 / 3A0573270009 / 3E0122690003 / 3S0581790003 / A0526615015 / A0527743003 / A0529627019 / MOD3S0581790003 / MOD3S0581790001 / PH1695HB64 / 3S0581790003 / 3S0581790001 / 3S581791 / 3S581793 / 0531114003 / 0534048001 / A05-34049-001 / A0534049001 / 3A0581790003,238611 / 800073PT / 613RA073 / 437249 / CTAVTU83143 / 2001-1723 / HDC010113PA / FRE64,ptr
12497-SB,Plastic/Aluminum with frame,Freightliner,Cascadia / Century / Columbia,2008-2015,"42"" X 37 3/4"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,376792711 / 0526620005 / 0527749003 / 0529617003 / 0529617009 / 1A0201190021 / 3E01228 / 3E0122800003 / A0526615021 / A0526620005 / A0527749003 / A0529617003 / 3S0582180003 / 0524936001 / 0524936003 / 052660005 / 0526620003 / 0529617007 / 3A0573270009 / 3E0122690003 / 3S0581790003 / A0526615015 / A0527743003 / A0529627019 / MOD3S0581790003 / MOD3S0581790001 / PH1695HB64 / 3S0581790003 / 3S0581790001 / 3S581791 / 3S581793 / 0531114003 / 0534048001 / A05-34049-001 / A0534049001 / 3A0581790003,238684 / 800073PTWF / 437249PF / HDC010113PAF / FRE64F,ptr
12500,Plastic/Aluminum Without Frame,Freightliner,Cascadia,2012-2019,"35 11/16"" X 37 3/4"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,0530675003 / 0530676001 / 3A0579670001 / 530675003 / A0530676003 / 3E0137640003 / 0530675001,238647 / 800104PT / 437425 / 20011738 / 613RA1320 / HDC010831PA / FRE91 / 1A0210000001 / 3S0580800001,ptr
12500-SB,Plastic/Aluminum with frame,Freightliner,Cascadia,2012-2019,"35 11/16"" X 37 3/4"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,0530675003 / 0530676001 / 3A0579670001 / 530675003 / A0530676003 / 3E0137640003 / 0530675001,238794 / 800104PTWF / 437425PFB / 613RA1320 / HDC010831PAFB / FRE91FB / 1A0210000001 / 3S0580800001,ptr
12503,Plastic/Aluminum Without Frame,Freightliner,M2 / 106 Business Class,2008-2018 ,"29 11/16"" X 30 5/8"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,Yes,0525194001 / 0525194003 / 0525194007 / 0528483001 / A0525423001 / A0525423003 / A0525423005 / A0525423007 / A0528481000 / A0528481001 / A0530693000 / A0530693001 / A0530693002 / A0530693003,238615 / 900051PT / 611RA951 / 20011743 / HDC010664PA / CTAVTU8423 / BHTCU077001 / BHTN4142001 / 437238 / FRE79,ptr
12534,Plastic/Aluminum Without Frame,Freightliner,Freightliner M2 / M2 106 Business Class / Sterling Acterra Q,2008-2023,"34"" X 30 5/8"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,Yes,0525340003 / 0525340007 / 0525340011 / 0525340015 / 0525424009 / 0528484001 / A0525424001 / A0525424003 / A0525424009 / A0525424011 / BHTP4022001 / BHTR6069100 / BHTS2726001 / BHTT3153001 / BHTX5435001 / P4022001 / R6069100 / R6374001 / S2726001 / T3153001 / W4839001 / W4843001 / W48302001 / X5435001 / 05-37140-000 / 0537140000 / BHTR6374001 / BHTT3152001 / T3152001 / 0525340001 / A0530696003 / BHTX5432001 / X5432001 / BHTR6069001 / R6069001 / N3086001 / BHTCU078001 / CHS23 / W4840001 / BHTCU080001 / 0525340009 / 05-25340-009 / CU078001 / 0537143000,239087 / 900050PT / FRE66 / 437272 / 2001-1744 / HDC010098PA,ptr
12560-XB,Plastic/Aluminum Without Frame,Freightliner,Coronado CC / CD / Western Star,2008-2013,"40 2/16'' X 40 13/16'' X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,0528637003 / 0529621001 / 0530350001 / 0530350003 / 0530530003 / 1A0208160000 / 3A0573350003 / A0528636003 / A0529631001,238635 / 800083PT / HDC010853PA / 437269P / TR8635 / 3S0583640003 / FRE86,ptr
12315,Plastic/Aluminum with frame,Hino,Hino 258 / 268 / 338,2011-2015,32 1/2''X 24 3/4'' X 1 5/8'',2,"2 3/16""","2 3/16""",No,Yes,16400E0E30 / 16400E0E31 / 16400E0810 / S16A0E1720,238844 / 590029PTWF / S16A0E1720 / 2230004340 / HDC011223PAF / HIN15F,ptr
12764-SB,Plastic/Aluminum with frame,Hino,338 Series ,2016-2022,"32 1/4"" x 25"" x 1 7/8""",2,"2 5/16""","2 5/16""",No,Yes,16400E0E62,238931 / HDC011285PAF / 590036PTWF / HIN16FB,ptr
12360,Plastic/Aluminum Without Frame,International,5900i / 8600 / 9100 / 9100i / 9200 / 9200i / 9400 / 9400i / 9900ix / Prostar,2007-2009,"40 3/16 "" X 25 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No, 2591554C91 / 2591558C91 / 2591559C91 / 3E0113500000 / 50341794601 / 58011201669 / 5801201667,238602 / 640020PT / 20013533 / 437307 / HDC010237PA / LRHD802556 / CVTM81433 / 1S180197 / HD208001 / NAV19,ptr
12397,Plastic/Aluminum Without Frame,International,3000-4600 / Ford F650-F700,2002-2007, 20 1/2'' X 25 2/16'' X 2 3/16'',2,"2 1/4""","2 1/4""",No,Yes,2504903C91 / 2504903C92 / 2504903C93 / 2505509C93 / 25686048C92,238678 / 640012PT / 437389 / 20013531 / SRM6125AT / CVTX61252 / HDC010243PA / 615RA008 / BTC7365 / NAV12,ptr
12535,Plastic/Aluminum Without Frame,International,3800 / 4100 / 4200 / 4300 / 4400 / BE and CE Bus / Ford F650 / F750,2008-2012,"28 4/7"" X 24 3/4"" X 2 3/16""",2,"2 1/4""","2 1/2""",No,Yes,2593282C91 / 2593294C91/ 2593295C91/ 2593295C92/ 3E115120000,238639 / 640069PT / 20013534 / HDC010225PA / 437280P / NAV30,ptr
12557-XB,Plastic/Aluminum Without Frame,International,Navistar LT625 15.0L,2017 & newer,"34 1/18"" X 37 3/4"" X 1 1/2""",2,"2 1/2""","2 1/2""",No,Yes,2516107C91,640125PT / 238902 / HDC011265PA / NAV90 / 437556P,ptr
12361,Plastic/Aluminum Without Frame,Kenworth / Peterbilt,Kenworth T800 / T880 / Peterbilt 335 / 365-367 / 567,2008-2015,37'' X 38 1/2'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,No,N3985001 / N3985002 / N3985003 / F3161011101110 / F3161011101120 / F3161011102110 / F3161011111110,238624 / 770016PT / SER77164LH / PET18 / KW69 / 437441 / CTVTU82873 / HDC010176PA / 20012508 / HD205004,ptr
12361-SB,Plastic/Aluminum with frame,Kenworth / Peterbilt,Kenworth T800 / T880 / Peterbilt 335 / 365-367 / 567,2008-2022,37'' X 38 1/2'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,No,N3985001 / N3985002 / N3985003 / F3161011101110 / F3161011101120 / F3161011102110 / F3161011111110,238872 / 770016PTWF / SER77164LH / PET18F / KW69 / 437441PF / CTVTU82873 / HDC010176PAF,ptr
12364,Plastic/Aluminum Without Frame,Kenworth / Peterbilt,Kenworth W900 / Peterbilt 365 / 367 / 388 / 389,2008-2023,42 15/16'' X 38 1/2'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,No,N9414001 / N9414002 / N9414003 / F3160851101310 / F3160851101330 / F3160851101340,238625 / 770017PT / SER77174LH / BTC7390 / 437442 / CVTM82763 / HDC010175PA / 20013704 / F3160852102520 / PET19,ptr
12366,Plastic/Aluminum Without Frame,Kenworth / Peterbilt,W900 / T400 series / Peterbilt 384 & 386,2008-2022,36 1/16'' X 36 1/8'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,No,N4028001 / N4028002 / N4028003 / N4028004 / F3160921101320 / F3160921111320 / F3160922101320,238648 / 770021PT / 633RA021 / 437443 / HD201001 / 20012512 / HDC010173PA / BHTH4102 / PET20,ptr
12369,Plastic/Aluminum Without Frame,Kenworth / Peterbilt,Kenworth T300 / T370 / Peterbilt 330 / 335 / 340,2008-2010,22 1/4'' X 38 1/2'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,No,N3994001 / N3994002 / N3994003 / F3161221302120 / F3161221222110 / F3161221222110 / F3161221202110,238630 / 770014PT / 633RA014 / 437399 / CTVTM82893 / 20012511 / PET16 / HDC010178PA / N3994003 / F3161221302120,ptr
12370-XB,Plastic/Aluminum Without Frame,Kenworth / Peterbilt,Kenworth T680 / T880 / T2000 / Peterbilt 365 / 367 / 387 / 587 / 579,2008-2021,34 1/16''X 38 1/2'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,No,N8061001 / N3800001 / N3800002 / N3800003 / N3800004 / F3160891233640 / F3160893104060,238631 / 770015PT / PET17 / 437440 / HD205005 / 20013705 / HDC010177PA / N3800004 / F3160891233640 / F316089,ptr
12370-SB,Plastic/Aluminum with frame,Kenworth / Peterbilt,Kenworth T680 / T880 / T2000 / Peterbilt 365 / 367 / 387 / 587 / 579,2008-2017,  34 1/16'' X 38 1/2'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,No,N8061001 / N3800001 / N3800002 / N3800003 / N3800004 / F3160891233640 / F3160893104060,238874 / 770015PTWF / PET17FC / HD205005 / HDC010177PAF / N3800004 / F3160891233640 / F316089,ptr
12398,Plastic/Aluminum Without Frame,Kenworth,Kenworth T660 / W900 / T880 / W900L,2006-2024 ,40 7/16 ''X 30 5/8'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,No,N4020001 / N4020002 / F3160881101100 / F3160881101120,238638 / 650017PT / 20012507 / KW8174 / CVTM81743 / HD205008 / HDC010492PA / 437275 / N4020002 / KEN14,ptr
12573-XB,Plastic/Aluminum Without Frame,Kenworth / Peterbilt,Kenworth T680 / Peterbilt 579,2018-2024,"34 1/11"" X 37 12/16"" X 1 1/2""",2,"2 1/2""","2 1/2""",No,No,HK179100 / HK179001 / 2401749 / F3112541101211 / F3112541102211 / F3112541111211 / F3112541111221,238900 / 650032PT / 437565 / PET40,ptr
12573-SB,Plastic/Aluminum with frame,Kenworth / Peterbilt,Kenworth T680 / Peterbilt 579,2018-2021,"34 1/11"" X 37 12/16"" X 1 1/2""",2,"2 1/2""","2 1/2""",No,No,HK179100 / HK179001 / 2401749 / F3112541101211 / F3112541102211 / F3112541111211 / F3112541111221,238901 / 650032PTWF / 437565F / PET40F,ptr
12616-XB,Plastic/Aluminum Without Frame,Kenworth / Peterbilt,Kenworth T680 / Peterbilt 579,2022-2024,"40"" X 30"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,No,PY091001,238927 / HDC011286PA / PET42,ptr
12496,Plastic/Aluminum Without Frame,Mack / Volvo,Volvo VNL / VNM / CT / CV / Mack Vision / Granite / Pinnacle,2008-2019,"40 7/16"" X 33 4/5"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,Yes,22234461 / 1016491 / 20956552 / 20956564 / 21146403 / 21146404 / 21298076 / 21504536 / 21504548 / 21593032 / 21593038 / 22644024,239047 / 800052PT / 437435 / CAVTM81723 / HD203003 / 20014608 / HDC010133PA / 1102947 / P6861003 / 20956552 / VOL03,ptr
12496-SB,Plastic/Aluminum with frame,Mack / Volvo,Volvo VNL / VNM,2008-2019,"40 7/16"" X 33 4/5"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,Yes,22234461 / 1016491 / 20956552 / 20956564 / 21146403 / 21146404 / 21298076 / 21504536 / 21504548 / 21593032 / 21593038 / 22644024,238726 / 800052PTWF / 437435PF / CAVTM81723 / HDC010133PAF / 1102947 / P6861003 / 20956552 / VOL03F,ptr
12506,Plastic/Aluminum Without Frame,Mack / Volvo,Mack CHU series / CHN series / GU granite models / Volvo VHD series,2008-2023,"39 3/9"" X 33 4/5"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,Yes,21000184 / 21000185 / 21095128 / 21504538 / 21504550,239048 / 730018PT / 437223 / MAC19 / CTAVTU83534 / HD201701 / HDC010199PA / 20013017 / 8MK376761651 / S5587002,ptr
12558-XB,Plastic/Aluminum Without Frame,Mack / Volvo,Volvo VN series / Mack CHN / CXN,2003-2007,35 7/16'' X 34 3/16'' X 1 7/8'',2,"2 1/2""","2 1/2""",No,Yes,20370258 / 20370259 / 20461059 / 20461069 / 20461073 / 20485886 / 20516408 / 20516412,239156 / 800040PT / VOL40 / 637RA040 / 437432 / 20014603 / HDC010142PA / CTVTM60033 / ACTSA600344N / FLX000604,ptr
12536,Plastic/Aluminum Without Frame,Bluebird,Vision ,2003-2006 ,"25"" x 25"" x 2 3/16""",2,"2""","2""",No,Yes,0060348 / 0065509 / 0115577 / 097908 / 10007026 / 10007027 / 10007088 / 1003730 / 1050105 / 1050106 / 1050150AR / 1050150BB / 1050228 / 1102464A / 5071501 / 05071501 / 733477 / 00109048 / 1050105BB / 1102464AS,239283 / 310011PT / 437217P / BLU08 / HDC010322PA,ptr
12627,Plastic/Aluminum Without Frame,Bluebird,All American HDFE 3000 / Also fits various Freightliner & Oshkosh models,2007-2023,"29 5/8"" x 25 1/8"" 2 3/16""",2,"2""","2""",No,No,1003471 / 00010507 / 0010507 / 1948066 / 015635622 / 00115578 / 0115578 / 1102480 / 10014205,239172 / FRE76 / HDC010319PA / 437284P /  310017,ptr
12635-SB,Plastic/Aluminum With Frame,Bluebird,"Vision with Cummins ISB 25"" / CV with Ford 6.8",2007-2021,"25"" x 25 1/8"" x 2 3/16""",2,"2""","2""",No,Yes,1003754,239084 / HDC010893PAF / BLU11F,ptr
12625,Plastic/Aluminum Without Frame,Freightliner / Thomas ,C2 Bus,2010-2017,"29 5/8"" x 25 1/8"" x 2 3/16""",2,"2""","2""",No,Yes,VAB 1102619 / 1102619  / VAB 1102906 /1003748 ,238619 / HDC010883PA / 437424P / 310081 / FRE37,ptr
12625-SB,Plastic/Aluminum With Frame,Freightliner / Thomas ,FLT C2 model / Thomas Bus B2 ,2010-2017,"29 5/8"" X 24 5/16"" X 2 3/16""",2,"2""","2""",No,Yes,1004036 /1003748 / 1040293 ,238740 / 310021 / 20011721 / 437290PF / HDC010883PAF  / FRE37F,ptr
12628,Plastic/Aluminum Without Frame,Freightliner / Thomas ,EF Cabover Front Engine,2007-2017,"27 1/2"" x 25 1/8"" x 2 3/16""",2,"2""","2""",No,No,1003749 / 1040383 / 1102621 / VAB1003749 / VAB1050208 / VAB1102621 / 1102908  / 10010214 ,238620 / HDC010892PA / FRE35 / 437459P,ptr
12629,Plastic/Aluminum Without Frame,Freightliner / Thomas , HDX RE with DD8 engine,2015+,"27 1/2"" x 31 13/16"" x 2 3/16""",2,"2 1/2""","2 1/2""",No,No,1102974,238926 / HDC011284PA / FRE155,ptr
FL-032-SS,Bolt-on Copper/Brass,Freightliner,FLD 112 / FLD120 / FLD132 & Classic XL & Detroit Diesel Series 60-500 HP,1992-2005,"37"" X 31 7/8"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""","3""",No,1050082 / 1AC00002 / 1AC00027 / 1AC00035R / 1AC00035S / 2AC00035 / 376753451 / 516366001 / A0512800002 / A0512800004 / 555603OEM,239311 / 800021BT / 613RA021 / 437368 / 21011701 / HDC010005SK / CVTU56034 / FRE21,bt
FL-033-SS,Bolt-on Copper/Brass,Freightliner,FLD 112 / FLD120 / FLD132 & Classic XL & Detroit Diesel Series 60-500 HP,1985-1998,"37"" X 31 7/8"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""","3""",No,1050082 / 1AC00002 / 1AC00027 / 1AC00035R / 1AC00035S / 2AC00035 / 310011T / 376753451 / A0512800002 / A0512800004 / A0516355001 / A0516366001 / A0516366004,HDC010380SK / 3AC00022SP / A0512800000 / FLX000226 / SRM5603B / CVTU56034 / FRE21S,bt
KW-008-SS,Bolt-on Copper/Brass,Kenworth,W900L Series,1991-1999,"40"" X 28 1/2"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""",Flange mount Bolt on type,No,1030510201 / 1A020259 / 2723B / D46007471 / X510201 / X510203 / X51021 / X560208 / X56028,239327 / 2723B / CVTU80484 / 437598 / 650007BT / 21012505 / HDC010216SK / KEN18,bt
KW-011-SS,Bolt-on Copper/Brass,Kenworth,T600 / T700 / T800 / W900 with CAT C15 500HP Engine,1988-2007,"40"" X 28 1/2"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""","3""",No, X4048 / X404802 / X510102 / X51012 / X560108 / X560110 / X56018 / X561010 / X520101 / X52011 / ,239312 / 5562135 / 650006BT / 21012503 / SRM6213 / CVT62134 / 437362 / HDC010626SK / KEN06,bt
KW-012-SS,Bolt-on Copper/Brass,Kenworth,T600 / T800,2003 - 2007,"40"" X 28 1/2"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""","2 1/2""",No,5562133 / 5562134 / 5562135 / X560120 / X560109 / X5601-20 / X5601-09,239158 / 650020BT / TR9158 / SCSI239158 / 437600 / CVT82584 / HDC010443SK / KEN12 / FLX000330,bt
PT-011-SS,Bolt-on Copper/Brass,Peterbilt,Peterbilt 357 / 375 / 377 / 378 / 379,1995 - 2007,"36 1/4"" X 34 1/2"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""","3""",No,0706657A011 / 0706657A012 / 0706657A013 / 0706657A032 / 0706657A033 / 0706657A040,239208 / 5580364 / 770006BT / BTC1100R / 21013701 / CVT80364 / HDC010181SK / 437396S / PET10,bt
PT-014-SS,Bolt-on Copper/Brass,Peterbilt,Peterbilt 357 / 377 / 379 / 385 / 386 / 387 Series without Surge Tank,2003-2006,"36 1/4"" X 34 1/2"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""","3""",No,0706657A015 / 0706657A038 / 0706657A041 / 0706657A050 / 0706657A074 / 17200011720166 / 1A17043 / 1A17047 / 1A18283 / 1A19577,239298 / 558076 / 770011BT / CVT80764 / FLX000515 / 21013706 / HDC011011 / 1A19461 / CVT-8076-4 / PET12,bt
PT-020-SS-F,Bolt-on Copper/Brass,Peterbilt,Peterbilt 357 / 375 / 377 / 378 / 379,1987-1994,"36 1/4"" X 34 1/2"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""","3""",No,0705678A001 / 076657A013 / 076657A032 / 076657A038 / 076657A040 / 0705678A002 / 0750676A008 / 0706657A032 / 0706657A031 / 0706557A030 / 0705716A010 / 0705678A028 / 07-05678A028,770019BT / HDC010032SK / 21013701 / CVTU-8128-4 / PET14 / FLX000509 / SRM8036NSPL / BTC1102R,bt
PT-025-SS,Bolt-on Copper/Brass,Peterbilt,Peterbilt 357 / 375 / 377 / 378 / 379,1995 - 2007,"36 1/4"" X 34 1/2"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""","3""",No,0706657A011 / 0706657A012 / 0706657A013 / 0706657A032 / 0706657A033 / 0706657A040,same as unit PT-011-SS but with universal mounts for CAC and Condeser assembly,bt
WS-001-SS,Bolt-on Copper/Brass,Western Star,4964 Heritage / 5964 SBA ,1995-2002,"34"" X 35"" X 2 7/16""",Standard Core,4 Rows Louvered Serpentine Fins,"2 1/2""",Flanged outlet left,No,1A0158540000 / 1A15463 / 1A15854G / 1E0158540000 / 1S0158540000 / 3A38190D,238600 / 800084BT / 639RA084 / WES84 / HDC010866SK / 200013480,bt
IC033,Tube & Fin Powder Coated,Freightliner / Sterling,"CL Series Columbia, Century, M2 112",2004-2007,"37"" X 26 1/4"" X 1 15/16""",1,"4""","4""",1E6017 / BHTD3525 / BHTA3562 / BHTC2320 / BHTD59279 / 818964 / BHTD3523 / A0519870001 / A0519870002 / A0519870003 / A0519870011,222194 / HDH010244 / 441237 / 4401-1715 / CAC107F / FRT18122 / FLX010219 / SRMFR5T ,,,cac
